15/04 21:03:27, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
15/04 21:03:27, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
15/04 21:03:30, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:03:31, SENSOR, ACTIVITY (): STILL
15/04 21:03:32, SENSOR, TIME (timer): TICK
15/04 21:03:37, SENSOR, TIME (timer): TICK
15/04 21:03:42, SENSOR, TIME (timer): TICK
15/04 21:03:47, SENSOR, TIME (timer): TICK
15/04 21:03:49, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:03:52, SENSOR, TIME (timer): TICK
15/04 21:03:55, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
15/04 21:03:55, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
15/04 21:03:57, SENSOR, TIME (timer): TICK
15/04 21:03:58, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:03:58, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:00, SENSOR, TIME (timer): TICK
15/04 21:04:02, SENSOR, TIME (timer): TICK
15/04 21:04:05, SENSOR, TIME (timer): TICK
15/04 21:04:07, SENSOR, TIME (timer): TICK
15/04 21:04:07, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:07, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:10, SENSOR, TIME (timer): TICK
15/04 21:04:12, SENSOR, TIME (timer): TICK
15/04 21:04:15, SENSOR, TIME (timer): TICK
15/04 21:04:17, SENSOR, TIME (timer): TICK
15/04 21:04:17, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:17, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:20, SENSOR, TIME (timer): TICK
15/04 21:04:22, SENSOR, TIME (timer): TICK
15/04 21:04:25, SENSOR, TIME (timer): TICK
15/04 21:04:26, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:26, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:27, SENSOR, TIME (timer): TICK
15/04 21:04:30, SENSOR, TIME (timer): TICK
15/04 21:04:32, SENSOR, TIME (timer): TICK
15/04 21:04:35, SENSOR, TIME (timer): TICK
15/04 21:04:35, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:35, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:36, SENSOR, ACTIVITY (): TILTING
15/04 21:04:36, SENSOR, ACTIVITY (): TILTING
15/04 21:04:36, SENSOR, ACTIVITY (): UNKNOWN
15/04 21:04:36, SENSOR, ACTIVITY (): UNKNOWN
15/04 21:04:37, SENSOR, TIME (timer): TICK
15/04 21:04:39, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:39, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:40, SENSOR, TIME (timer): TICK
15/04 21:04:42, SENSOR, TIME (timer): TICK
15/04 21:04:44, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:44, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:45, SENSOR, TIME (timer): TICK
15/04 21:04:47, SENSOR, TIME (timer): TICK
15/04 21:04:50, SENSOR, TIME (timer): TICK
15/04 21:04:50, SENSOR, ACTIVITY (): TILTING
15/04 21:04:50, SENSOR, ACTIVITY (): TILTING
15/04 21:04:52, SENSOR, TIME (timer): TICK
15/04 21:04:54, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:54, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:55, SENSOR, TIME (timer): TICK
15/04 21:04:57, SENSOR, TIME (timer): TICK
15/04 21:04:58, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:04:58, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:00, SENSOR, TIME (timer): TICK
15/04 21:05:02, SENSOR, TIME (timer): TICK
15/04 21:05:03, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:03, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:05, SENSOR, TIME (timer): TICK
15/04 21:05:07, SENSOR, TIME (timer): TICK
15/04 21:05:07, SENSOR, ACTIVITY (): STILL
15/04 21:05:07, SENSOR, ACTIVITY (): STILL
15/04 21:05:10, SENSOR, TIME (timer): TICK
15/04 21:05:12, SENSOR, TIME (timer): TICK
15/04 21:05:12, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:13, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:15, SENSOR, TIME (timer): TICK
15/04 21:05:16, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:16, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:17, SENSOR, TIME (timer): TICK
15/04 21:05:20, SENSOR, TIME (timer): TICK
15/04 21:05:22, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:22, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:22, SENSOR, ACTIVITY (): STILL
15/04 21:05:22, SENSOR, ACTIVITY (): STILL
15/04 21:05:22, SENSOR, TIME (timer): TICK
15/04 21:05:25, SENSOR, TIME (timer): TICK
15/04 21:05:27, SENSOR, TIME (timer): TICK
15/04 21:05:32, SENSOR, TIME (timer): TICK
15/04 21:05:34, SENSOR, TIME (timer): TICK
15/04 21:05:35, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:35, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:35, SENSOR, TIME (timer): TICK
15/04 21:05:36, SENSOR, ACTIVITY (): STILL
15/04 21:05:36, SENSOR, ACTIVITY (): STILL
15/04 21:05:37, SENSOR, TIME (timer): TICK
15/04 21:05:40, SENSOR, TIME (timer): TICK
15/04 21:05:42, SENSOR, TIME (timer): TICK
15/04 21:05:43, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:43, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:45, SENSOR, TIME (timer): TICK
15/04 21:05:47, SENSOR, TIME (timer): TICK
15/04 21:05:50, SENSOR, TIME (timer): TICK
15/04 21:05:50, SENSOR, ACTIVITY (): STILL
15/04 21:05:50, SENSOR, ACTIVITY (): STILL
15/04 21:05:52, SENSOR, TIME (timer): TICK
15/04 21:05:53, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:05:53, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:06:06, SENSOR, TIME (timer): TICK
15/04 21:06:06, SENSOR, TIME (timer): TICK
15/04 21:06:06, SENSOR, TIME (timer): TICK
15/04 21:06:08, SENSOR, TIME (timer): TICK
15/04 21:06:08, SENSOR, TIME (timer): TICK
15/04 21:06:08, SENSOR, TIME (timer): TICK
15/04 21:06:10, SENSOR, TIME (timer): TICK
15/04 21:06:10, SENSOR, ACTIVITY (): STILL
15/04 21:06:10, SENSOR, ACTIVITY (): STILL
15/04 21:06:12, SENSOR, TIME (timer): TICK
15/04 21:06:14, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:06:14, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:06:20, SENSOR, TIME (timer): TICK
15/04 21:06:20, SENSOR, TIME (timer): TICK
15/04 21:06:22, SENSOR, TIME (timer): TICK
15/04 21:06:22, SENSOR, TIME (timer): TICK
15/04 21:06:24, SENSOR, ACTIVITY (): STILL
15/04 21:06:24, SENSOR, ACTIVITY (): STILL
15/04 21:06:25, SENSOR, TIME (timer): TICK
15/04 21:06:27, SENSOR, TIME (timer): TICK
15/04 21:06:29, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:06:29, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:06:30, SENSOR, TIME (timer): TICK
15/04 21:06:32, SENSOR, TIME (timer): TICK
15/04 21:06:35, SENSOR, TIME (timer): TICK
15/04 21:06:37, SENSOR, TIME (timer): TICK
15/04 21:06:37, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:06:37, SENSOR, WIFI (): NOTHING_FOUND
15/04 21:06:38, SENSOR, ACTIVITY (): STILL
