10/04 14:34:10, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:34:10, SENSOR, TIME (timer): TICK
10/04 14:34:14, SENSOR, ACTIVITY (): STILL
10/04 14:34:24, SENSOR, TIME (timer): TICK
10/04 14:34:24, SENSOR, TIME (timer): TICK
10/04 14:34:25, SENSOR, TIME (timer): TICK
10/04 14:34:28, SENSOR, ACTIVITY (): STILL
10/04 14:34:38, SENSOR, TIME (timer): TICK
10/04 14:34:38, SENSOR, TIME (timer): TICK
10/04 14:34:40, SENSOR, TIME (timer): TICK
10/04 14:34:43, SENSOR, ACTIVITY (): STILL
10/04 14:34:44, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:34:51, SENSOR, TIME (timer): TICK
10/04 14:34:51, SENSOR, TIME (timer): TICK
10/04 14:34:55, SENSOR, TIME (timer): TICK
10/04 14:34:56, SENSOR, ACTIVITY (): STILL
10/04 14:35:08, SENSOR, TIME (timer): TICK
10/04 14:35:08, SENSOR, TIME (timer): TICK
10/04 14:35:10, SENSOR, ACTIVITY (): TILTING
10/04 14:35:10, SENSOR, TIME (timer): TICK
10/04 14:35:18, SENSOR, TIME (timer): TICK
10/04 14:35:19, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:35:20, SENSOR, TIME (timer): TICK
10/04 14:35:27, SENSOR, TIME (timer): TICK
10/04 14:35:33, SENSOR, TIME (timer): TICK
10/04 14:35:35, SENSOR, TIME (timer): TICK
10/04 14:35:43, SENSOR, TIME (timer): TICK
10/04 14:35:45, SENSOR, TIME (timer): TICK
10/04 14:35:46, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:35:46, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:35:53, SENSOR, TIME (timer): TICK
10/04 14:35:55, SENSOR, TIME (timer): TICK
10/04 14:36:03, SENSOR, TIME (timer): TICK
10/04 14:36:06, SENSOR, TIME (timer): TICK
10/04 14:36:13, SENSOR, TIME (timer): TICK
10/04 14:36:14, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:36:15, SENSOR, TIME (timer): TICK
10/04 14:36:22, SENSOR, TIME (timer): TICK
10/04 14:36:23, SENSOR, ACTIVITY (): STILL
10/04 14:36:33, SENSOR, TIME (timer): TICK
10/04 14:36:33, SENSOR, TIME (timer): TICK
10/04 14:36:35, SENSOR, TIME (timer): TICK
10/04 14:36:40, SENSOR, TIME (timer): TICK
10/04 14:36:42, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:36:44, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
10/04 14:36:44, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
10/04 14:36:45, SENSOR, TIME (timer): TICK
10/04 14:36:46, SENSOR, ACTIVITY (): TILTING
10/04 14:36:50, SENSOR, TIME (timer): TICK
10/04 14:36:55, SENSOR, TIME (timer): TICK
10/04 14:37:03, SENSOR, TIME (timer): TICK
10/04 14:37:04, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:37:05, SENSOR, TIME (timer): TICK
10/04 14:37:10, SENSOR, TIME (timer): TICK
10/04 14:37:13, SENSOR, ACTIVITY (): STILL
10/04 14:37:22, SENSOR, TIME (timer): TICK
10/04 14:37:22, SENSOR, TIME (timer): TICK
10/04 14:37:25, SENSOR, TIME (timer): TICK
10/04 14:37:27, SENSOR, ACTIVITY (): STILL
10/04 14:37:29, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:37:37, SENSOR, TIME (timer): TICK
10/04 14:37:37, SENSOR, TIME (timer): TICK
10/04 14:37:40, SENSOR, TIME (timer): TICK
10/04 14:37:42, SENSOR, ACTIVITY (): STILL
10/04 14:37:53, SENSOR, TIME (timer): TICK
10/04 14:37:53, SENSOR, TIME (timer): TICK
10/04 14:37:55, SENSOR, TIME (timer): TICK
10/04 14:37:56, SENSOR, ACTIVITY (): STILL
10/04 14:38:00, SENSOR, TIME (timer): TICK
10/04 14:38:02, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:38:08, SENSOR, TIME (timer): TICK
10/04 14:38:10, SENSOR, TIME (timer): TICK
10/04 14:38:10, SENSOR, ACTIVITY (): STILL
10/04 14:38:23, SENSOR, TIME (timer): TICK
10/04 14:38:23, SENSOR, TIME (timer): TICK
10/04 14:38:25, SENSOR, ACTIVITY (): STILL
10/04 14:38:25, SENSOR, TIME (timer): TICK
10/04 14:38:30, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:38:30, SENSOR, TIME (timer): TICK
10/04 14:38:37, SENSOR, TIME (timer): TICK
10/04 14:38:39, SENSOR, ACTIVITY (): STILL
10/04 14:38:40, SENSOR, TIME (timer): TICK
10/04 14:38:56, SENSOR, TIME (timer): TICK
10/04 14:38:56, SENSOR, TIME (timer): TICK
10/04 14:38:56, SENSOR, TIME (timer): TICK
10/04 14:38:56, SENSOR, ACTIVITY (): STILL
10/04 14:39:01, SENSOR, TIME (timer): TICK
10/04 14:39:01, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:39:09, SENSOR, TIME (timer): TICK
10/04 14:39:10, SENSOR, TIME (timer): TICK
10/04 14:39:11, SENSOR, ACTIVITY (): STILL
10/04 14:39:23, SENSOR, TIME (timer): TICK
10/04 14:39:23, SENSOR, TIME (timer): TICK
10/04 14:39:25, SENSOR, ACTIVITY (): STILL
10/04 14:39:26, SENSOR, TIME (timer): TICK
10/04 14:39:38, SENSOR, TIME (timer): TICK
10/04 14:39:38, SENSOR, TIME (timer): TICK
10/04 14:39:39, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:39:39, SENSOR, ACTIVITY (): STILL
10/04 14:39:41, SENSOR, TIME (timer): TICK
10/04 14:39:55, SENSOR, TIME (timer): TICK
10/04 14:39:55, SENSOR, TIME (timer): TICK
10/04 14:39:55, SENSOR, TIME (timer): TICK
10/04 14:39:57, SENSOR, ACTIVITY (): STILL
10/04 14:40:07, SENSOR, TIME (timer): TICK
10/04 14:40:07, SENSOR, TIME (timer): TICK
10/04 14:40:10, SENSOR, TIME (timer): TICK
10/04 14:40:11, SENSOR, ACTIVITY (): STILL
10/04 14:40:16, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:40:16, SENSOR, TIME (timer): TICK
10/04 14:40:24, SENSOR, TIME (timer): TICK
