11/04 17:37:17, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
11/04 17:37:17, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
11/04 17:37:21, SENSOR, WIFI (): NOTHING_FOUND
11/04 17:37:21, SENSOR, ACTIVITY (): TILTING
11/04 17:37:22, SENSOR, TIME (timer): TICK
11/04 17:37:27, SENSOR, TIME (timer): TICK
11/04 17:37:30, SENSOR, ACTIVITY (): TILTING
11/04 17:37:32, SENSOR, TIME (timer): TICK
11/04 17:37:37, SENSOR, TIME (timer): TICK
11/04 17:37:39, SENSOR, WIFI (): NOTHING_FOUND
11/04 17:37:42, SENSOR, TIME (timer): TICK
11/04 17:37:47, SENSOR, TIME (timer): TICK
11/04 17:37:48, SENSOR, ACTIVITY (): STILL
11/04 17:37:55, SENSOR, TIME (timer): TICK
11/04 17:37:57, SENSOR, TIME (timer): TICK
11/04 17:38:01, SENSOR, WIFI (): NOTHING_FOUND
11/04 17:38:02, SENSOR, ACTIVITY (): STILL
11/04 17:38:02, SENSOR, TIME (timer): TICK
11/04 17:38:07, SENSOR, TIME (timer): TICK
11/04 17:38:12, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
11/04 17:38:12, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
11/04 17:38:12, SENSOR, TIME (timer): TICK
11/04 17:38:16, SENSOR, ACTIVITY (): STILL
11/04 17:38:17, SENSOR, TIME (timer): TICK
11/04 17:38:19, SENSOR, WIFI (): NOTHING_FOUND
11/04 17:38:27, SENSOR, TIME (timer): TICK
11/04 17:38:27, SENSOR, TIME (timer): TICK
11/04 17:38:30, SENSOR, ACTIVITY (): STILL
11/04 17:38:32, SENSOR, TIME (timer): TICK
11/04 17:38:45, SENSOR, TIME (timer): TICK
11/04 17:38:45, SENSOR, TIME (timer): TICK
11/04 17:38:47, SENSOR, TIME (timer): TICK
11/04 17:38:48, SENSOR, ACTIVITY (): STILL
11/04 17:38:50, SENSOR, WIFI (): NOTHING_FOUND
11/04 17:38:58, SENSOR, TIME (timer): TICK
11/04 17:38:58, SENSOR, TIME (timer): TICK
11/04 17:39:02, SENSOR, TIME (timer): TICK
11/04 17:39:02, SENSOR, ACTIVITY (): STILL
11/04 17:39:15, SENSOR, TIME (timer): TICK
11/04 17:39:15, SENSOR, TIME (timer): TICK
11/04 17:39:17, SENSOR, ACTIVITY (): STILL
11/04 17:39:18, SENSOR, TIME (timer): TICK
11/04 17:39:24, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
11/04 17:39:24, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
11/04 17:39:25, SENSOR, TIME (timer): TICK
11/04 17:39:26, SENSOR, WIFI (): NOTHING_FOUND
11/04 17:39:27, SENSOR, TIME (timer): TICK
11/04 17:39:31, SENSOR, ACTIVITY (): STILL
11/04 17:39:32, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
11/04 17:39:32, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
11/04 17:39:32, SENSOR, TIME (timer): TICK
11/04 17:39:47, SENSOR, TIME (timer): TICK
11/04 17:39:47, SENSOR, TIME (timer): TICK
11/04 17:39:47, SENSOR, TIME (timer): TICK
11/04 17:39:48, SENSOR, ACTIVITY (): STILL
11/04 17:39:52, SENSOR, TIME (timer): TICK
11/04 17:39:54, SENSOR, WIFI (): NOTHING_FOUND
11/04 17:39:57, SENSOR, TIME (timer): TICK
11/04 17:40:02, SENSOR, TIME (timer): TICK
11/04 17:40:02, SENSOR, ACTIVITY (): STILL
11/04 17:40:07, SENSOR, TIME (timer): TICK
11/04 17:40:12, SENSOR, WIFI (): NOTHING_FOUND
11/04 17:40:12, SENSOR, TIME (timer): TICK
11/04 17:40:17, SENSOR, ACTIVITY (): STILL
11/04 17:40:17, SENSOR, TIME (timer): TICK
11/04 17:40:29, SENSOR, TIME (timer): TICK
11/04 17:40:29, SENSOR, TIME (timer): TICK
11/04 17:40:32, SENSOR, TIME (timer): TICK
11/04 17:40:40, SENSOR, ACTIVITY (): STILL
11/04 17:40:40, SENSOR, TIME (timer): TICK
11/04 17:40:41, SENSOR, WIFI (): NOTHING_FOUND
11/04 17:40:42, SENSOR, TIME (timer): TICK
11/04 17:40:47, SENSOR, TIME (timer): TICK
